mcg,gvh,lip,chg,aac,alm1,alm2,class
0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
0.74,0.9,0.48,0.5,0.57,0.53,0.29,om
0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
0.77,0.57,0.48,0.5,0.88,0.53,0.2,om
0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL
0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp
0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp
0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
0.7109769003642714,0.42512608116566875,1.0,0.6097690036427147,0.4858508191986028,0.7431616974500996,0.7214494760658681,imL
0.7223596048774683,0.46155073560789883,1.0,0.7235960487746838,0.4608088692695696,0.6634827658577213,0.5985162673233415,imL
0.7337109725408021,0.49787511213056673,1.0,0.8371097254080209,0.4358358604102354,0.5840231922143854,0.4759214965593374,imL
0.7305979424081022,0.48791341570592683,1.0,0.8059794240810212,0.44268452670217534,0.605814403143285,0.509542221992497,imL
0.7404042966847278,0.5192937493911293,1.0,0.9040429668472787,0.4211105472935987,0.5371699232069048,0.40363359580493896,imL
0.7301478193113915,0.48647302179645274,1.0,0.8014781931139148,0.44367479751493877,0.6089652648202596,0.514403551436972,imL
0.7057422132578071,0.40837508242498266,1.0,0.5574221325780706,0.49736713083282447,0.7798045071953505,0.7779840968156837,imL
0.7215483550505281,0.45895473616169,1.0,0.7154835505052812,0.46259361888883815,0.6691615146463031,0.6072777654542963,imL
0.7198710962859687,0.4535875081150998,1.0,0.6987109628596868,0.4662835881708689,0.6809023259982192,0.6253921601115382,imL
0.7286765313243295,0.4817649002378546,1.0,0.7867653132432956,0.44691163108647497,0.6192642807296931,0.5302934616972408,imL
0.7312508718822173,0.49000279002309544,1.0,0.8125087188221731,0.4412480818591219,0.6012438968244788,0.502490583672053,imL
0.7292904803067087,0.48372953698146803,1.0,0.7929048030670875,0.44556094332524077,0.6149666378530387,0.5236628126875454,imL
0.7286084714809979,0.4815471087391935,1.0,0.7860847148099797,0.4470613627418045,0.6197406996330143,0.531028508005222,imL
0.7091899906134195,0.4194079699629424,1.0,0.591899906134195,0.4897820206504771,0.7556700657060634,0.7407481013750694,imL
0.7482340211473308,0.5443488676714586,1.0,0.9823402114733081,0.4038851534758722,0.4823618519686843,0.3190725716088273,imL
0.7037914364363378,0.402132596596281,1.0,0.5379143643633779,0.5016588398400569,0.7934599449456354,0.7990524864875519,imL
0.7158592739842681,0.44074967674965804,1.0,0.6585927398426812,0.47510959723461016,0.7089850821101231,0.6687198409699043,imL
0.7328500644337373,0.49512020618795954,1.0,0.8285006443373735,0.43772985824577787,0.5900495489638385,0.48521930411563674,imL
0.737533868471123,0.5101083791075935,1.0,0.8753386847112298,0.4274254893635295,0.5572629207021391,0.43463422051187184,imL
0.7255648115176139,0.47180739685636447,1.0,0.7556481151761388,0.45375741466124947,0.6410463193767028,0.5639000356097701,imL
0.7015182880389367,0.39485852172459746,1.0,0.515182880389367,0.5066597663143393,0.8093719837274431,0.8236024891794838,imL
0.7075254709221759,0.414081506950963,1.0,0.5752547092217595,0.49344396397121293,0.7673217035447684,0.7587249140404999,imL
0.7331452482570563,0.4960647944225801,1.0,0.8314524825705628,0.4370804538344762,0.587983262200606,0.48203131882379213,imL
0.7355302981912023,0.5036969542118473,1.0,0.8553029819120227,0.431833343979355,0.5712879126615841,0.4562727795350155,imL
0.740334279202927,0.5190696934493666,1.0,0.9033427920292705,0.4212645857535605,0.5376600455795106,0.4043897846083879,imL
0.7365680745038858,0.5070178384124349,1.0,0.8656807450388588,0.4295502360914511,0.5640234784727989,0.4450647953580325,imL
0.7101796956600928,0.422575026112297,1.0,0.601796956600928,0.48760466954779585,0.7487421303793502,0.7300592868709976,imL
0.7060864022655996,0.4094764872499187,1.0,0.560864022655996,0.49660991501568086,0.7773951841408028,0.7742668555315244,imL
0.737907049103466,0.5113025571310915,1.0,0.8790704910346608,0.42660449197237466,0.5546506562757374,0.43060386968256625,imL
0.7189797493499209,0.45073519791974714,1.0,0.6897974934992097,0.4682445514301739,0.6871417545505532,0.6350187070208535,imL
0.7442221338109845,0.5315108281951502,1.0,0.9422213381098442,0.4127113056158343,0.510445063323109,0.36240095484136825,imL
0.7024525172204656,0.3978480551054901,1.0,0.5245251722046564,0.5046044621149756,0.8028323794567405,0.8135128140189709,imL
0.7280652553922272,0.47980881725512714,1.0,0.7806525539222722,0.44825643813710014,0.6235432122544093,0.536895241763946,imL
0.7009987690666744,0.3931960610133581,1.0,0.509987690666744,0.5078027080533163,0.8130086165332792,0.8292132940799166,imL
0.7146191825551531,0.43678138417649004,1.0,0.6461918255515313,0.47783779837866314,0.7176657221139281,0.6821128284043463,imL
0.7220976386779205,0.460712443769346,1.0,0.7209763867792062,0.46138519490857466,0.6653165292545556,0.6013455022784573,imL
0.7455325215524308,0.5357040689677787,1.0,0.9553252155243082,0.4098284525846522,0.5012723491329842,0.3482487672337471,imL
0.7187556629194634,0.4500181213422827,1.0,0.6875566291946335,0.46873754157718067,0.6887103595637565,0.6374388404697959,imL
0.7082470925155362,0.416390696049716,1.0,0.5824709251553626,0.49185639646582024,0.7622703523912462,0.7509314008322084,imL
0.7449281522319594,0.5337700871422703,1.0,0.9492815223195945,0.4111580650896892,0.5055029343762838,0.3547759558948379,imL
0.7225576888806864,0.46218460441819664,1.0,0.7255768888068643,0.46037308446248987,0.6620961778351949,0.5963769600885865,imL
0.7294298417895154,0.4841754937264495,1.0,0.7942984178951547,0.445254348063066,0.6139911074733917,0.5221577086732331,imL
0.740652255710854,0.5200872182747328,1.0,0.90652255710854,0.4205650374361212,0.5354342100240219,0.4009556383227768,imL
0.7484416003685523,0.5450131211793676,1.0,0.9844160036855238,0.4034284791891848,0.48090879742013326,0.31683071601963425,imL
0.7006434373587477,0.3920589995479926,1.0,0.5064343735874768,0.5085844378107551,0.8154959384887661,0.8330508765255251,imL
0.7211243628412168,0.4575979610918939,1.0,0.7112436284121683,0.463526401749323,0.6721294601114822,0.6118568813148583,imL
0.7329151468706466,0.49532846998606933,1.0,0.8291514687064665,0.43758667688457736,0.5895939719054734,0.48451641379701615,imL
0.7431871815819807,0.5281989810623382,1.0,0.9318718158198067,0.4149882005196425,0.5176897289261352,0.3735784389146087,imL
0.725438195107838,0.4714022243450817,1.0,0.7543819510783802,0.45403597076275637,0.6419326342451338,0.5652674928353494,imL
0.7388363598053367,0.5142763513770773,1.0,0.8883635980533665,0.42456000842825936,0.5481454813626434,0.42056731410236414,imL
0.7167164429849474,0.4434926175518319,1.0,0.6671644298494745,0.47322382543311564,0.7029848991053678,0.6594624157625675,imL
0.7022498753287616,0.3971996010520371,1.0,0.522498753287616,0.5050502742767246,0.8042508726986688,0.8157013464493748,imL
0.7492605274811732,0.5476336879397545,1.0,0.9926052748117327,0.4016268395414188,0.4751763076317871,0.30798630320332865,imL
0.700764011951553,0.3924448382449697,1.0,0.5076401195155302,0.5083191737065834,0.8146519163391288,0.8317486709232274,imL
0.7493881707577185,0.548042146424699,1.0,0.9938817075771842,0.40134602433301947,0.474282804695971,0.306607755816641,imL
0.7279740345680179,0.4795169106176573,1.0,0.7797403456801788,0.44845712395036064,0.6241817580238748,0.5378804266654068,imL
0.7285344679842803,0.4813102975496972,1.0,0.7853446798428035,0.44722417043458323,0.6202587241100375,0.5318277457697722,imL
0.7384682795808978,0.513098494658873,1.0,0.884682795808978,0.4253697849220248,0.5507220429337153,0.42454258052630367,imL
0.7139689731825718,0.43470071418423,1.0,0.6396897318257186,0.4792682589983419,0.722217187721997,0.6891350896282238,imL
0.7136805808968779,0.43377785887000947,1.0,0.6368058089687795,0.4799027220268685,0.7242359337218544,0.6922497263137182,imL
