mcg,gvh,lip,chg,aac,alm1,alm2,class
0.44,0.51,0.48,0.5,0.47,0.26,0.36,cp
0.37,0.5,0.48,0.5,0.42,0.36,0.45,cp
0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
0.24,0.43,0.48,0.5,0.37,0.28,0.38,cp
0.42,0.3,0.48,0.5,0.48,0.26,0.36,cp
0.48,0.42,0.48,0.5,0.45,0.25,0.35,cp
0.41,0.48,0.48,0.5,0.51,0.44,0.51,cp
0.44,0.28,0.48,0.5,0.43,0.27,0.37,cp
0.29,0.41,0.48,0.5,0.48,0.38,0.46,cp
0.34,0.28,0.48,0.5,0.41,0.35,0.44,cp
0.41,0.43,0.48,0.5,0.45,0.31,0.41,cp
0.29,0.47,0.48,0.5,0.41,0.23,0.34,cp
0.34,0.55,0.48,0.5,0.58,0.31,0.41,cp
0.36,0.56,0.48,0.5,0.43,0.45,0.53,cp
0.4,0.46,0.48,0.5,0.52,0.49,0.56,cp
0.5,0.49,0.48,0.5,0.49,0.46,0.53,cp
0.52,0.44,0.48,0.5,0.37,0.36,0.42,cp
0.5,0.51,0.48,0.5,0.27,0.23,0.34,cp
0.53,0.42,0.48,0.5,0.16,0.29,0.39,cp
0.34,0.46,0.48,0.5,0.52,0.35,0.44,cp
0.4,0.42,0.48,0.5,0.37,0.27,0.27,cp
0.41,0.43,0.48,0.5,0.5,0.24,0.25,cp
0.3,0.45,0.48,0.5,0.36,0.21,0.32,cp
0.31,0.47,0.48,0.5,0.29,0.28,0.39,cp
0.64,0.76,0.48,0.5,0.45,0.35,0.38,cp
0.35,0.37,0.48,0.5,0.3,0.34,0.43,cp
0.57,0.54,0.48,0.5,0.37,0.28,0.33,cp
0.65,0.55,0.48,0.5,0.34,0.37,0.28,cp
0.51,0.46,0.48,0.5,0.58,0.31,0.41,cp
0.38,0.4,0.48,0.5,0.63,0.25,0.35,cp
0.24,0.57,0.48,0.5,0.63,0.34,0.43,cp
0.38,0.26,0.48,0.5,0.54,0.16,0.28,cp
0.33,0.47,0.48,0.5,0.53,0.18,0.29,cp
0.24,0.34,0.48,0.5,0.38,0.3,0.4,cp
0.26,0.5,0.48,0.5,0.44,0.32,0.41,cp
0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
0.43,0.32,0.48,0.5,0.33,0.45,0.52,cp
0.49,0.43,0.48,0.5,0.49,0.3,0.4,cp
0.47,0.28,0.48,0.5,0.56,0.2,0.25,cp
0.32,0.33,0.48,0.5,0.6,0.06,0.2,cp
0.34,0.35,0.48,0.5,0.51,0.49,0.56,cp
0.35,0.34,0.48,0.5,0.46,0.3,0.27,cp
0.38,0.3,0.48,0.5,0.43,0.29,0.39,cp
0.38,0.44,0.48,0.5,0.43,0.2,0.31,cp
0.41,0.51,0.48,0.5,0.58,0.2,0.31,cp
0.34,0.42,0.48,0.5,0.41,0.34,0.43,cp
0.51,0.49,0.48,0.5,0.53,0.14,0.26,cp
0.25,0.51,0.48,0.5,0.37,0.42,0.5,cp
0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
0.25,0.26,0.48,0.5,0.39,0.32,0.42,cp
0.24,0.41,0.48,0.5,0.49,0.23,0.34,cp
0.17,0.39,0.48,0.5,0.53,0.3,0.39,cp
0.04,0.31,0.48,0.5,0.41,0.29,0.39,cp
0.61,0.36,0.48,0.5,0.49,0.35,0.44,cp
0.34,0.51,0.48,0.5,0.44,0.37,0.46,cp
0.28,0.33,0.48,0.5,0.45,0.22,0.33,cp
0.4,0.46,0.48,0.5,0.42,0.35,0.44,cp
0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
0.37,0.44,0.48,0.5,0.42,0.39,0.47,cp
0.0,0.38,0.48,0.5,0.42,0.48,0.55,cp
0.39,0.31,0.48,0.5,0.38,0.34,0.43,cp
0.3,0.44,0.48,0.5,0.49,0.22,0.33,cp
0.27,0.3,0.48,0.5,0.71,0.28,0.39,cp
0.17,0.52,0.48,0.5,0.49,0.37,0.46,cp
0.36,0.42,0.48,0.5,0.53,0.32,0.41,cp
0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
0.26,0.4,0.48,0.5,0.36,0.26,0.37,cp
0.4,0.41,0.48,0.5,0.55,0.22,0.33,cp
0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
0.44,0.35,0.48,0.5,0.44,0.52,0.59,cp
0.27,0.42,0.48,0.5,0.37,0.38,0.43,cp
0.16,0.43,0.48,0.5,0.54,0.27,0.37,cp
0.06,0.61,0.48,0.5,0.49,0.92,0.37,im
0.44,0.52,0.48,0.5,0.43,0.47,0.54,im
0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
0.23,0.48,0.48,0.5,0.59,0.88,0.89,im
0.34,0.49,0.48,0.5,0.58,0.85,0.8,im
0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
0.27,0.35,0.48,0.5,0.51,0.77,0.79,im
0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
0.55,0.47,0.48,0.5,0.57,0.78,0.8,im
0.12,0.67,0.48,0.5,0.74,0.58,0.63,im
0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
0.73,0.36,0.48,0.5,0.53,0.91,0.92,im
0.84,0.44,0.48,0.5,0.48,0.71,0.74,im
0.48,0.45,0.48,0.5,0.6,0.78,0.8,im
0.54,0.49,0.48,0.5,0.4,0.87,0.88,im
0.48,0.41,0.48,0.5,0.51,0.9,0.88,im
0.5,0.66,0.48,0.5,0.31,0.92,0.92,im
0.72,0.46,0.48,0.5,0.51,0.66,0.7,im
0.47,0.55,0.48,0.5,0.58,0.71,0.75,im
0.33,0.56,0.48,0.5,0.33,0.78,0.8,im
0.64,0.58,0.48,0.5,0.48,0.78,0.73,im
0.54,0.57,0.48,0.5,0.56,0.81,0.83,im
0.47,0.59,0.48,0.5,0.52,0.76,0.79,im
0.63,0.5,0.48,0.5,0.59,0.85,0.86,im
0.49,0.42,0.48,0.5,0.53,0.79,0.81,im
0.31,0.5,0.48,0.5,0.57,0.84,0.85,im
0.74,0.44,0.48,0.5,0.55,0.88,0.89,im
0.33,0.45,0.48,0.5,0.45,0.88,0.89,im
0.45,0.4,0.48,0.5,0.61,0.74,0.77,im
0.71,0.4,0.48,0.5,0.71,0.7,0.74,im
0.5,0.37,0.48,0.5,0.66,0.64,0.69,im
0.66,0.53,0.48,0.5,0.59,0.66,0.66,im
0.6,0.61,0.48,0.5,0.54,0.67,0.71,im
0.83,0.37,0.48,0.5,0.61,0.71,0.74,im
0.34,0.51,0.48,0.5,0.67,0.9,0.9,im
0.63,0.54,0.48,0.5,0.65,0.79,0.81,im
0.7,0.4,0.48,0.5,0.56,0.86,0.83,im
0.6,0.5,1.0,0.5,0.54,0.77,0.8,im
0.16,0.51,0.48,0.5,0.33,0.39,0.48,im
0.74,0.7,0.48,0.5,0.66,0.65,0.69,im
0.2,0.46,0.48,0.5,0.57,0.78,0.81,im
0.89,0.55,0.48,0.5,0.51,0.72,0.76,im
0.7,0.46,0.48,0.5,0.56,0.78,0.73,im
0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
0.61,0.52,0.48,0.5,0.54,0.67,0.52,im
0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
0.41,0.51,0.48,0.5,0.53,0.75,0.78,im
0.34,0.67,0.48,0.5,0.52,0.76,0.79,im
0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
0.59,0.56,0.48,0.5,0.55,0.8,0.82,im
0.51,0.4,0.48,0.5,0.57,0.62,0.67,im
0.5,0.57,0.48,0.5,0.71,0.61,0.66,im
0.6,0.46,0.48,0.5,0.45,0.81,0.83,im
0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
0.58,0.55,0.48,0.5,0.57,0.7,0.74,im
0.36,0.47,0.48,0.5,0.51,0.69,0.72,im
0.39,0.41,0.48,0.5,0.52,0.72,0.75,im
0.35,0.51,0.48,0.5,0.61,0.71,0.74,im
0.31,0.44,0.48,0.5,0.5,0.79,0.82,im
0.61,0.66,0.48,0.5,0.46,0.87,0.88,im
0.48,0.49,0.48,0.5,0.52,0.77,0.71,im
0.11,0.5,0.48,0.5,0.58,0.72,0.68,im
0.31,0.36,0.48,0.5,0.58,0.94,0.94,im
0.68,0.51,0.48,0.5,0.71,0.75,0.78,im
0.69,0.39,0.48,0.5,0.57,0.76,0.79,im
0.52,0.54,0.48,0.5,0.62,0.76,0.79,im
0.46,0.59,0.48,0.5,0.36,0.76,0.23,im
0.36,0.45,0.48,0.5,0.38,0.79,0.17,im
0.0,0.51,0.48,0.5,0.35,0.67,0.44,im
0.1,0.49,0.48,0.5,0.41,0.67,0.21,im
0.3,0.51,0.48,0.5,0.42,0.61,0.34,im
0.61,0.47,0.48,0.5,0.0,0.8,0.32,im
0.63,0.75,0.48,0.5,0.64,0.73,0.66,im
0.71,0.52,0.48,0.5,0.64,1.0,0.99,im
0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
0.75,0.55,1.0,1.0,0.4,0.47,0.3,imL
0.7,0.39,1.0,0.5,0.51,0.82,0.84,imL
0.72,0.42,0.48,0.5,0.65,0.77,0.79,imU
0.79,0.41,0.48,0.5,0.66,0.81,0.83,imU
0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
0.69,0.43,0.48,0.5,0.59,0.74,0.77,imU
0.79,0.36,0.48,0.5,0.46,0.82,0.7,imU
0.78,0.33,0.48,0.5,0.57,0.77,0.79,imU
0.75,0.37,0.48,0.5,0.64,0.7,0.74,imU
0.59,0.29,0.48,0.5,0.64,0.75,0.77,imU
0.67,0.37,0.48,0.5,0.54,0.64,0.68,imU
0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
0.64,0.46,0.48,0.5,0.48,0.73,0.76,imU
0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
0.77,0.55,0.48,0.5,0.51,0.78,0.74,imU
0.81,0.44,0.48,0.5,0.42,0.67,0.68,imU
0.58,0.6,0.48,0.5,0.59,0.73,0.76,imU
0.63,0.42,0.48,0.5,0.48,0.77,0.8,imU
0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
0.86,0.39,0.48,0.5,0.59,0.89,0.9,imU
0.81,0.53,0.48,0.5,0.57,0.87,0.88,imU
0.87,0.49,0.48,0.5,0.61,0.76,0.79,imU
0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
0.76,0.41,0.48,0.5,0.5,0.59,0.62,imU
0.7,0.53,0.48,0.5,0.7,0.86,0.87,imU
0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
0.81,0.52,0.48,0.5,0.57,0.78,0.8,imU
0.73,0.26,0.48,0.5,0.57,0.75,0.78,imU
0.49,0.61,1.0,0.5,0.56,0.71,0.74,imU
0.88,0.42,0.48,0.5,0.52,0.73,0.75,imU
0.84,0.54,0.48,0.5,0.75,0.92,0.7,imU
0.63,0.51,0.48,0.5,0.64,0.72,0.76,imU
0.86,0.55,0.48,0.5,0.63,0.81,0.83,imU
0.79,0.54,0.48,0.5,0.5,0.66,0.68,imU
0.57,0.38,0.48,0.5,0.06,0.49,0.33,imU
0.78,0.44,0.48,0.5,0.45,0.73,0.68,imU
0.78,0.68,0.48,0.5,0.83,0.4,0.29,om
0.63,0.69,0.48,0.5,0.65,0.41,0.28,om
0.67,0.88,0.48,0.5,0.73,0.5,0.25,om
0.61,0.75,0.48,0.5,0.51,0.33,0.33,om
0.67,0.84,0.48,0.5,0.74,0.54,0.37,om
0.74,0.9,0.48,0.5,0.57,0.53,0.29,om
0.73,0.84,0.48,0.5,0.86,0.58,0.29,om
0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
0.77,0.57,0.48,0.5,0.88,0.53,0.2,om
0.74,0.78,0.48,0.5,0.75,0.54,0.15,om
0.68,0.76,0.48,0.5,0.84,0.45,0.27,om
0.56,0.68,0.48,0.5,0.77,0.36,0.45,om
0.65,0.51,0.48,0.5,0.66,0.54,0.33,om
0.52,0.81,0.48,0.5,0.72,0.38,0.38,om
0.64,0.57,0.48,0.5,0.7,0.33,0.26,om
0.6,0.76,1.0,0.5,0.77,0.59,0.52,om
0.69,0.59,0.48,0.5,0.77,0.39,0.21,om
0.63,0.49,0.48,0.5,0.79,0.45,0.28,om
0.71,0.71,0.48,0.5,0.68,0.43,0.36,om
0.68,0.63,0.48,0.5,0.73,0.4,0.3,om
0.77,0.57,1.0,0.5,0.37,0.54,0.01,omL
0.66,0.49,1.0,0.5,0.54,0.56,0.36,omL
0.71,0.46,1.0,0.5,0.52,0.59,0.3,omL
0.67,0.55,1.0,0.5,0.66,0.58,0.16,omL
0.68,0.49,1.0,0.5,0.62,0.55,0.28,omL
0.74,0.49,0.48,0.5,0.42,0.54,0.36,pp
0.7,0.61,0.48,0.5,0.56,0.52,0.43,pp
0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
0.73,0.78,0.48,0.5,0.58,0.51,0.31,pp
0.65,0.57,0.48,0.5,0.47,0.47,0.51,pp
0.72,0.86,0.48,0.5,0.17,0.55,0.21,pp
0.67,0.7,0.48,0.5,0.46,0.45,0.33,pp
0.67,0.81,0.48,0.5,0.54,0.49,0.23,pp
0.67,0.61,0.48,0.5,0.51,0.37,0.38,pp
0.63,1.0,0.48,0.5,0.35,0.51,0.49,pp
0.57,0.59,0.48,0.5,0.39,0.47,0.33,pp
0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
0.66,0.74,0.48,0.5,0.31,0.38,0.43,pp
0.67,0.81,0.48,0.5,0.25,0.42,0.25,pp
0.64,0.72,0.48,0.5,0.49,0.42,0.19,pp
0.68,0.82,0.48,0.5,0.38,0.65,0.56,pp
0.32,0.39,0.48,0.5,0.53,0.28,0.38,pp
0.7,0.64,0.48,0.5,0.47,0.51,0.47,pp
0.63,0.57,0.48,0.5,0.49,0.7,0.2,pp
0.74,0.82,0.48,0.5,0.49,0.49,0.41,pp
0.63,0.86,0.48,0.5,0.39,0.47,0.34,pp
0.63,0.83,0.48,0.5,0.4,0.39,0.19,pp
0.63,0.71,0.48,0.5,0.6,0.4,0.39,pp
0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
0.68,0.78,0.48,0.5,0.43,0.44,0.42,pp
0.64,0.84,0.48,0.5,0.37,0.45,0.4,pp
0.74,0.47,0.48,0.5,0.5,0.57,0.42,pp
0.75,0.84,0.48,0.5,0.35,0.52,0.33,pp
0.63,0.65,0.48,0.5,0.39,0.44,0.35,pp
0.69,0.67,0.48,0.5,0.3,0.39,0.24,pp
0.7,0.71,0.48,0.5,0.42,0.84,0.85,pp
0.69,0.8,0.48,0.5,0.46,0.57,0.26,pp
0.64,0.66,0.48,0.5,0.41,0.39,0.2,pp
0.63,0.8,0.48,0.5,0.46,0.31,0.29,pp
0.66,0.71,0.48,0.5,0.41,0.5,0.35,pp
0.69,0.59,0.48,0.5,0.46,0.44,0.52,pp
0.68,0.67,0.48,0.5,0.49,0.4,0.34,pp
0.64,0.78,0.48,0.5,0.5,0.36,0.38,pp
0.62,0.78,0.48,0.5,0.47,0.49,0.54,pp
0.76,0.73,0.48,0.5,0.44,0.39,0.39,pp
0.64,0.81,0.48,0.5,0.37,0.39,0.44,pp
0.29,0.39,0.48,0.5,0.52,0.4,0.48,pp
0.62,0.83,0.48,0.5,0.46,0.36,0.4,pp
0.56,0.54,0.48,0.5,0.43,0.37,0.3,pp
0.69,0.66,0.48,0.5,0.41,0.5,0.25,pp
0.69,0.65,0.48,0.5,0.63,0.48,0.41,pp
0.43,0.59,0.48,0.5,0.52,0.49,0.56,pp
0.74,0.56,0.48,0.5,0.47,0.68,0.3,pp
0.71,0.57,0.48,0.5,0.48,0.35,0.32,pp
0.61,0.6,0.48,0.5,0.44,0.39,0.38,pp
0.59,0.61,0.48,0.5,0.42,0.42,0.37,pp
0.74,0.74,0.48,0.5,0.31,0.53,0.52,pp
0.7484691963134766,0.5451014282031251,1.0,0.9846919631347659,0.4033677681103515,0.48071562580566385,0.31653267981445277,imL
0.7001801774881411,0.39057656796205154,1.0,0.501801774881411,0.5096036095260896,0.8187387575830123,0.838054083128076,imL
0.7294528934614586,0.4842492590766675,1.0,0.7945289346145858,0.4452036343847911,0.6138297457697899,0.5219087506162472,imL
0.7154357932778335,0.43939453848906723,1.0,0.6543579327783351,0.4760412547887663,0.7119494470551654,0.6732934325993981,imL
0.7154898319922236,0.43956746237511574,1.0,0.6548983199222367,0.475922369617108,0.7115711760544343,0.6727098144839845,imL
0.7215232649758074,0.45887444792258375,1.0,0.7152326497580741,0.4626488170532237,0.6693371451693481,0.6075487382612799,imL
0.7156844538667633,0.44019025237364257,1.0,0.6568445386676329,0.47549420149312077,0.7102088229326569,0.6706078982389564,imL
0.7085331167556348,0.4173059736180315,1.0,0.5853311675563484,0.49122714313760335,0.7602681827105561,0.7478423390391438,imL
0.7421755778856244,0.5249618492339981,1.0,0.9217557788562438,0.41721372865162637,0.5247709548006293,0.3845037588352566,imL
0.7482852497082217,0.5445127990663097,1.0,0.9828524970822174,0.4037724506419122,0.48200325204244776,0.31851930315120514,imL
0.7213119213311615,0.45819814825971694,1.0,0.7131192133116153,0.46311377307144463,0.6708165506818693,0.6098312496234555,imL
0.7035128528982496,0.4012411292743988,1.0,0.5351285289824963,0.5022717236238508,0.7954100297122525,0.802061188698904,imL
0.7297722808617038,0.48527129875745206,1.0,0.7977228086170376,0.44450098210425176,0.6115940339680737,0.5184593666935995,imL
0.704168825295281,0.40334024094489934,1.0,0.5416882529528104,0.5008285843503817,0.7908182229330327,0.7949766868109649,imL
0.7284522797184655,0.4810472950990895,1.0,0.7845227971846547,0.447404984619376,0.6208340419707417,0.532715379040573,imL
0.744364369737795,0.5319659831609438,1.0,0.9436436973779492,0.4123983865768512,0.5094494118354355,0.3608648068318148,imL
0.74189597267514,0.5240671125604478,1.0,0.9189597267513993,0.41782886011469217,0.5267281912740205,0.3875234951084888,imL
0.7102192283610331,0.42270153075530603,1.0,0.6021922836103312,0.48751769760572716,0.7484654014727681,0.7296323337008424,imL
0.7026624948470505,0.3985199835105615,1.0,0.5266249484705046,0.504142511336489,0.8013625360706467,0.8112450556518551,imL
0.7438736020115603,0.5303955264369928,1.0,0.9387360201156025,0.41347807557456745,0.5128847859190783,0.3661650982751493,imL
0.7244732722827268,0.4683144713047261,1.0,0.7447327228272689,0.4561588009780009,0.6486870940209117,0.5756886593465496,imL
0.7293157721576844,0.4838104709045902,1.0,0.7931577215768443,0.4455053012530943,0.614789594896209,0.5233896606970082,imL
0.7418508791700754,0.5239228133442415,1.0,0.9185087917007544,0.417928065825834,0.5270438458094718,0.3880105049631852,imL
0.7090711325134196,0.41902762404294264,1.0,0.5907113251341957,0.49004350847047695,0.7565020724060629,0.7420317688550687,imL
0.7260556397718124,0.4733780472697998,1.0,0.7605563977181244,0.45267759250201267,0.6376105215973129,0.5585990904644257,imL
0.71021063369362,0.4226740278195841,1.0,0.6021063369362002,0.48753660587403597,0.7485255641446598,0.7297251561089038,imL
0.7178321105734088,0.44706275383490823,1.0,0.6783211057340881,0.4707693567385006,0.6951752259861383,0.6474132058071849,imL
0.7294350038294175,0.4841920122541363,1.0,0.7943500382941757,0.44524299157528135,0.613954973194077,0.5221019586422903,imL
0.707084392133561,0.4126700548273955,1.0,0.5708439213356109,0.4944143373061656,0.7704092550650723,0.7634885649575402,imL
0.7468627410031514,0.5399607712100845,1.0,0.9686274100315139,0.406901969793067,0.49196081297794025,0.333882397165965,imL
0.703382034639849,0.4008225108475173,1.0,0.5338203463984914,0.5025595237923319,0.7963257575210559,0.8034740258896294,imL
0.7201766375956952,0.4545652403062248,1.0,0.7017663759569523,0.4656113972894705,0.6787635368301334,0.6220923139664915,imL
0.7075467355133427,0.41414955364269657,1.0,0.5754673551334266,0.49339718187064613,0.7671728514066013,0.7584952564558992,imL
0.7041655945683983,0.40332990261887486,1.0,0.5416559456839838,0.5008356919495236,0.7908408380212113,0.7950115786612975,imL
0.722381333213261,0.4616202662824354,1.0,0.7238133321326106,0.4607610669308257,0.6633306675071726,0.5982816012967807,imL
0.7154634641666658,0.43948308533333075,1.0,0.6546346416666584,0.47598037883333516,0.711755750833339,0.6729945870000089,imL
0.7324555867468882,0.49385787759004207,1.0,0.8245558674688813,0.4385977091568461,0.592810892771783,0.48947966313360813,imL
0.7154441668157703,0.43942133381046494,1.0,0.6544416681577029,0.47602283300530535,0.7118908322896079,0.6732029983896809,imL
0.7322453450228802,0.4931851040732168,1.0,0.8224534502288025,0.43906024094966345,0.5942825848398382,0.4917502737528934,imL
0.70064603891552,0.3920673245296644,1.0,0.5064603891552012,0.5085787143858558,0.8154777275913592,0.8330227797123828,imL
0.7020435624128633,0.39653939972116253,1.0,0.5204356241286329,0.5055041626917007,0.8056950631099569,0.8179295259410766,imL
0.7453826287395912,0.5352244119666917,1.0,0.9538262873959114,0.41015821677289954,0.502321598822862,0.34986760961241575,imL
0.7138579491239297,0.43434543719657515,1.0,0.6385794912392972,0.4795125119273546,0.7229943561324919,0.6903341494615589,imL
0.7006478796674577,0.3920732149358646,1.0,0.5064787966745768,0.5085746647315931,0.8154648423277961,0.8330028995914571,imL
0.7283181719235056,0.48061815015521797,1.0,0.7831817192350561,0.44770002176828766,0.6217727965354607,0.5341637432261395,imL
0.7037993599512483,0.4021579518439946,1.0,0.5379935995124832,0.5016414081072538,0.7934044803412618,0.7989669125265182,imL
0.7170110779777477,0.44443544952879277,1.0,0.6701107797774772,0.472575628448955,0.7009224541557659,0.6562803578403246,imL
0.7143526695632311,0.4359285426023396,1.0,0.6435266956323111,0.47842412696089154,0.7195313130573822,0.684991168717104,imL
0.7011052897384015,0.3935369271628848,1.0,0.5110528973840149,0.5075683625755167,0.8122629718311896,0.828062870825264,imL
0.7089710665597182,0.41870741299109826,1.0,0.589710665597182,0.49026365356862,0.7572025340819726,0.7431124811550436,imL
0.7459908819962224,0.5371708223879117,1.0,0.9599088199622239,0.40882005960831075,0.4980638260264433,0.3432984744407982,imL
0.7059214832275018,0.4089487463280058,1.0,0.5592148322750181,0.49697273689949606,0.7785496174074873,0.7760479811429805,imL
0.7498194409395058,0.5494222110064185,1.0,0.9981944093950577,0.40039722993308735,0.4712639134234596,0.3019500378533377,imL
0.71435408555361,0.4359330737715522,1.0,0.6435408555361006,0.47842101178205787,0.7195214011247295,0.6849758760210114,imL
0.7378737788062686,0.5111960921800596,1.0,0.8787377880626859,0.42667768662620914,0.5548835483561199,0.43096318889229923,imL
0.7401086069594889,0.5183475422703646,1.0,0.9010860695948893,0.4217610646891244,0.5392397512835774,0.4068270448375195,imL
0.72021250051353,0.45468000164329614,1.0,0.7021250051353003,0.46553249887023396,0.6785124964052898,0.6217049944538756,imL
0.7408422065006005,0.5206950608019215,1.0,0.9084220650060046,0.420147145698679,0.5341045544957966,0.39890416979351495,imL
0.7191510369093939,0.45128331811006045,1.0,0.6915103690939388,0.4678677187993335,0.6859427416342427,0.6331688013785461,imL
